,Unnamed: 0,id,EVENTMSGTYPE,x,y,z,game_clock,rankc
12255,538796,0021500381_10,2,7.87419,22.06421,9.09291,630.58,48
12256,538846,0021500381_101,2,8.22701,25.184160000000002,9.31025,471.67,50
12257,538879,0021500381_102,1,4.61528,24.89988,9.05522,454.38,33
12258,538935,0021500381_112,2,4.29392,28.85085,9.23909,367.44,56
12259,538994,0021500381_123,2,6.999619999999999,21.13833,9.236930000000001,268.97,59
12260,539047,0021500381_126,2,9.954260000000001,22.45646,9.05064,249.43,53
12261,539083,0021500381_127,1,4.56139,25.55011,9.11355,240.48,36
12262,539117,0021500381_132,1,4.94751,25.20896,9.07263,188.28,34
12263,539149,0021500381_134,1,5.498880000000001,24.803060000000002,9.0533,157.27,32
12264,539183,0021500381_137,1,5.4894,25.17635,9.10785,102.46,34
12265,539245,0021500381_138,2,4.85934,26.74888,9.00866,63.17,62
12266,539278,0021500381_14,1,5.17365,25.73901,9.132610000000001,591.39,33
12267,539332,0021500381_143,2,15.41051,32.99286,9.99894,11.77,54
12268,539364,0021500381_176,1,4.89834,25.37538,9.78128,420.14,32
12269,539422,0021500381_18,2,7.1821399999999995,24.829729999999998,9.24297,565.17,58
12270,539454,0021500381_189,1,6.13695,25.05493,9.72349,309.42,32
12271,539486,0021500381_19,1,5.7771099999999995,24.412229999999997,9.283999999999999,557.88,32
12272,539530,0021500381_197,2,6.53748,19.954729999999998,9.0691,239.84,44
12273,539565,0021500381_207,1,4.97639,24.7402,9.58935,111.14,35
12274,539617,0021500381_209,2,13.01437,18.643810000000002,8.435139999999999,96.43,52
12275,539664,0021500381_210,2,8.488560000000001,28.19415,9.35785,88.55,47
12276,539710,0021500381_212,2,10.56867,18.23114,9.13408,69.31,46
12277,539752,0021500381_217,2,3.4401900000000003,18.699279999999998,9.67482,31.79,42
12278,539803,0021500381_218,2,11.027519999999999,32.005829999999996,9.08933,25.3,51
12279,539864,0021500381_235,2,10.655289999999999,18.34865,9.36411,574.62,61
12280,539913,0021500381_237,2,5.52939,27.030720000000002,9.21353,568.1,49
12281,539937,0021500381_238,1,4.77155,25.05344,9.01915,557.52,24
