,Unnamed: 0,id,EVENTMSGTYPE,x,y,z,game_clock,rankc
4522,200500,0021500147_115,2,6.86947,26.27525,10.57423,57.87,19
4523,200548,0021500147_119,2,7.49295,24.06941,10.62557,23.56,45
4524,200601,0021500147_132,2,7.13311,28.098509999999997,10.50136,586.51,46
4525,200644,0021500147_142,2,5.15723,22.67002,10.47095,520.13,40
4526,200696,0021500147_144,2,7.779960000000001,21.40268,10.59908,507.28,47
4527,200738,0021500147_149,1,5.2241800000000005,24.429579999999998,10.44674,444.86,34
4528,200772,0021500147_15,1,5.10684,24.72305,10.47813,526.34,32
4529,200830,0021500147_155,2,5.29829,20.19408,10.601519999999999,359.39,52
4530,200871,0021500147_159,2,5.968369999999999,23.10373,10.42677,314.56,38
4531,200908,0021500147_167,1,5.86027,24.877129999999998,10.80666,218.36,31
4532,200944,0021500147_17,1,5.24054,24.82951,10.511339999999999,493.4,33
4533,200986,0021500147_178,2,6.70384,25.05805,10.491010000000001,67.45,40
4534,201024,0021500147_180,2,5.05927,24.16311,11.299389999999999,40.11,34
4535,201060,0021500147_181,2,6.69803,21.76988,10.63838,31.17,24
4536,201098,0021500147_186,2,9.09977,28.82023,10.56132,677.71,33
4537,201136,0021500147_187,2,7.1936800000000005,25.62847,10.780710000000001,673.6,31
4538,201168,0021500147_192,2,5.24105,24.35632,10.84963,618.6,30
4539,201200,0021500147_197,1,5.9394599999999995,24.8408,10.8814,525.48,30
4540,201239,0021500147_203,1,5.1462699999999995,24.6167,10.7251,439.6,30
4541,201295,0021500147_204,2,7.9962,24.21852,10.60369,420.16,49
4542,201332,0021500147_211,2,4.78949,26.51057,10.686069999999999,341.81,31
4543,201370,0021500147_214,2,12.33813,28.019170000000003,10.69937,293.06,35
4544,201421,0021500147_217,2,8.902999999999999,30.97035,10.4621,259.37,38
4545,201467,0021500147_25,2,5.59437,30.752679999999998,10.58801,390.53,41
4546,201520,0021500147_3,2,11.4222,24.2734,10.46054,679.43,49
4547,201552,0021500147_31,2,7.17921,24.78377,10.708169999999999,321.75,30
4548,201604,0021500147_33,2,7.65638,24.063589999999998,10.815,309.15,50
4549,201653,0021500147_39,2,6.191269999999999,25.73087,10.85952,222.62,45
4550,201686,0021500147_46,1,5.2137199999999995,25.00062,10.46701,151.99,30
4551,201746,0021500147_48,2,8.01592,34.95803,10.93778,129.1,52
4552,201783,0021500147_64,2,4.61916,26.13937,10.51947,607.61,34
4553,201832,0021500147_66,2,4.63919,28.968020000000003,10.66879,585.21,42
4554,201869,0021500147_8,1,5.96819,24.329279999999997,11.03682,617.76,33
4555,201922,0021500147_90,2,6.97197,21.340020000000003,10.43293,279.17,48
4556,201961,0021500147_95,1,5.9115,25.23145,10.62162,242.75,33
4557,201994,0021500147_96,2,5.7356300000000005,23.40065,10.97764,233.13,31
4558,202044,0021500148_1,2,9.80156,26.28775,10.94278,700.26,47
4559,202079,0021500148_113,2,5.39465,26.71677,10.54604,85.02,29
4560,202117,0021500148_118,1,6.0159400000000005,25.242639999999998,10.51987,31.88,29
4561,202158,0021500148_129,2,5.85649,18.95509,11.22733,563.06,39
4562,202217,0021500148_134,2,6.69068,23.41456,10.45606,516.08,43
4563,202268,0021500148_148,2,13.79519,27.883740000000003,10.50232,400.81,44
4564,202304,0021500148_155,1,5.63529,25.14968,10.57175,293.03,29
4565,202340,0021500148_158,1,6.17141,24.66816,10.516739999999999,245.57,31
4566,202383,0021500148_160,2,10.90737,23.2403,10.41165,205.88,40
4567,202415,0021500148_166,1,5.91368,24.4135,10.88583,121.5,28
